Year,Company name,Reporting on a Mandatory Basis, Number of single use plastic bags issued , Gross proceeds of charge (£) ,VAT (£),Costs deducted (£), Cost of changing till systems (£),Cost of staff communications (£),Cost of customer communications (£),Cost of obtaining advice on charge (£),Cost of administering donations (£),Other costs associated with implementing charge (£), Description of other costs, Net proceeds  (£) (Gross less VAT and costs) ,Use of net proceeds,Other use of net proceeds,Amount donated to good causes (£),Good causes in receipt of proceed donation,Number of paper bags issued,Number of bags for life issued,Number of fabric bags issued,Number of other bags issued,Any other information
2016-17,2 sisters (Red Meat) Ltd,:,"20,638","1,031.90",171.98,No costs deducted from proceeds,0,0,0,0,0,0, ,859.92,Donated, ,859,"Charity/Voluntary,Local causes chosen by customers or staff",:,:,:,:, 
2016-17,A F Blakemore & Son Ltd,:,"6,439,197","321,959.85","53,659.98","14,586.64",0,0,0,0,"14,586.64",0,,"253,713.24",Donated,,"253,713.24", : ,:,:,:,:,
2016-17,Age UK Trading CIC,:,"818,423","40,921.15","6,792.91",No costs deducted from proceeds,0,0,0,0,0,0, ,"34,128.24",Donated, ,"34,128.00",Charity/Voluntary,:,:,:,:, 
2016-17,Aldi Stores Ltd,:,"67,203,919","3,360,195.95","560,032.66",No costs deducted from proceeds,0,0,0,0,0,0, ,"2,800,163.29",Donated, ,"2,800,163.00","Education,Environment,Health,Charity/Voluntary,Local causes chosen by customers or staff",:,"3,750,662",:,:, All purchases of bags are verified via our sales of products reporting process.
2016-17,"Animal, a division of H Young (Operations) Limited",:,"30,546","1,527.30",254.55,No costs deducted from proceeds,0,0,0,0,0,0,,"1,272.75",Donated,,"1,272.75", : ,:,:,:,:,
2016-17,Archant Community Media Limited,:,"165,301","8,265.05","1,377.50",No costs deducted from proceeds,0,0,0,0,0,0, ,"6,887.55",Donated, ,"8,265.00",Environment,:,:,:,:,
2016-17,Argos,:,"8,382,380","419,119.00","69,853.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"349,266.00",Donated, ,0, : ,:,:,:,:, 
2016-17,Asda Stores Limited,:,"165,766,608","8,288,330.00","1,381,388.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"6,906,942.00",Donated, ,"6,906,942.00","£3,035,786 - University College London National Dementia Research centre ; £3,871,156  - Asda Foundation ",:,:,:,:, 
2016-17,Aston Villa Football Club,:,"20,139","1,006.95",167.81,No costs deducted from proceeds,0,0,0,0,0,0, ,839.14,Donated, ,839,Charity/Voluntary,:,:,:,:," Combat Stress -    £419.50
Fisher House UK - £419.50"
2016-17,B&Q,:,"1,266,294","63,314.70","10,552.45",No costs deducted from proceeds,0,0,0,0,0,1,,"52,761.25",Donated, ,"104,078.00",Charity/Voluntary,:,"815,267",:,:, 
2016-17,Bags Etc Ltd,:,"36,637","1,831.85",305.31,No costs deducted from proceeds,0,0,0,0,0,0, ,"1,526.54",Retained by your company / organisation, ,0, : ,:,:,:,:,Proceeds held until total = +/- £5000 at which point they will be donated to charities selected by our employees
2016-17,Bargain Booze,:,"349,795","17,489.75",:,No costs deducted from proceeds,0,0,0,0,0,0,,:,Donated,,"17,489.75",Health,:,:,:,:,
2016-17,Barton Grange Group Ltd,:,"104,366","5,218.30",866.45,No costs deducted from proceeds,0,0,0,0,0,0, ,"4,351.85",Donated, ,"4,352.00",Local causes chosen by customers or staff,:,:,:,:, 
2016-17,"Bath & North East Somerset Council, Museums Trading",:,"33,108","1,655.40",275.9,No costs deducted from proceeds,0,0,0,0,0,0, ,"1,379.50",Donated, ,"1,380.00","Arts,Heritage",:,:,:,:, 
2016-17,Beaverbrooks The Jewellers Ltd,:,"1,068",53.4,8.9,No costs deducted from proceeds,0,0,0,0,0,0, ,44.5,Donated, ,45,Local causes chosen by customers or staff,"435,710",:,:,:,Provide paper bags FOC as standard and have plastic bags for protecting the paper ones if requested by customers. Plastic are charged at 5p each inc VAT 
2016-17,Bents Garden Centre Limited,:,"32,165","1,608.25",266.97,No costs deducted from proceeds,0,0,0,0,0,0, ,"1,341.28",Donated, ,0, : ,:,:,:,:,
2016-17,Biddles of Guildford,:,876,43.8,7.3,No costs deducted from proceeds,0,0,0,0,0,0, ,36.5,Donated, ,37,"Charity/Voluntary,Local causes chosen by customers or staff",600,:,:,:,
2016-17,Birds (Derby) Ltd,:,"598,162","29,908.10","4,985.66",No costs deducted from proceeds,0,0,0,0,0,0, ,"24,922.44",Donated, ,"24,922.44",Charity/Voluntary,:,"2,738",:,:,
2016-17,Blackburn Rovers Football & Athletic Ltd,:,"7,154",357.7,71.54,No costs deducted from proceeds,0,0,0,0,0,0, ,286.16,Donated, ,286,"Charity/Voluntary,Local causes chosen by customers or staff",:,:,:,:, 
2016-17,Blackpool Pleasure Beach Ltd,:,"30,894","1,544.70",257.45,No costs deducted from proceeds,0,0,0,0,0,0, ,"1,287.25",Donated, ,"1,545.00",Charity/Voluntary,:,357,:,:,
2016-17,Blackwell UK Limited,:,"238,247","11,897.00","1,983.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"9,914.00",Donated, ,0, : ,:,:,:,:, 
2016-17,Blue Cross,:,"104,455","5,222.75",870.46,No costs deducted from proceeds,0,0,0,0,0,0,,"4,352.29",Retained by company,,0,Charity/voluntary,:,:,:,:,Retained by Blue Cross for charitable activities - animal welfare
2016-17,BMB Clothing Limited,:,"119,780","5,989.00",994,No costs deducted from proceeds,0,0,0,0,0,0, ,"4,995.00",Donated, ,"4,995.00",Charity/Voluntary,"119,780",:,:,:, 
2016-17,BOC Ltd,:,111,5.55,1.11,4.44,0,4.44,0,0,0,0, ,0,Retained by your company / organisation, no net proceeds after costs ,0,,:,:,:,:,
2016-17,"Bodleian Libraries, University of Oxford",:,"6,813",340.65,56.55,No costs deducted from proceeds,0,0,0,0,0,0, ,284.1,"Donated,Retained by your company / organisation", ,0, : ,:,:,:,:,All profits generated by the Bodleian Libraries shops are donated back to the Bodleian Libraries
2016-17,Bonmarche Limited,:,"2,141,005","104,311.44","17,329.69",No costs deducted from proceeds,0,0,0,0,0,0, ,"86,981.75",Donated, ,"86,982.00",Charity/Voluntary,:,:,:,:, 
2016-17,Booker Retail Partners,:,"503,419","25,170.95","4,193.48",No costs deducted from proceeds,0,0,0,0,0,0, ,"20,977.47",Donated, ,"19,667.00",Local causes chosen by customers or staff,:,:,:,:,Data submitted  includes Budgens data
2016-17,Boux Avenue Limited,:,"101,283","6,077.00","1,013.00",No costs deducted from proceeds,0,0,0,0,0,0, ,"5,064.00",Donated, ,"5,064.00",Charity/Voluntary,:,:,:,:, 
2016-17,Bradfords Building Supplies Ltd,:,"2,542",127.1,25.18,No costs deducted from proceeds,0,0,0,0,0,0, ,101.92,Donated, ,102,Charity/Voluntary,:,:,:,:, Money donated to Macmillan charity
2016-17,Brighton & Hove Albion Football Club,:,"16,609",828.61,166.09,No costs deducted from proceeds,0,0,0,0,0,0, ,662.52,Donated, ,0, : ,:,222,:,:, 
2016-17,Britannia Jinky Jersey Ltd,:,"69,101","3,456.23",192.63,No costs deducted from proceeds,0,0,0,0,0,0, ,"3,263.60",Retained by your company / organisation, ,0,,:,:,:,:, 
2016-17,Brobot Petroleum Limited,:,"86,735","4,336.75",722.79,No costs deducted from proceeds,0,0,0,0,0,0,,"3,613.96",:,,:,,:,:,:,:,
2016-17,Bryanston Conference Centre Limited,:,"1,198",59.9,11.91,No costs deducted from proceeds,0,0,0,0,0,0, ,47.99,Donated, ,:,Education,:,:,:,:, 
